Camera_ID,Date,Time,Count
OB,2025-04-01,4:15:00 AM,3
OR,2025-04-02,8:25:00 PM,1
OR,2025-04-03,5:18:00 AM,4
OR,2025-04-03,5:21:00 AM,3
OB,2025-04-04,3:14:00 AM,1
OB,2025-04-04,3:30:00 AM,3
OB,2025-04-05,8:20:00 PM,2
OB,2025-04-05,8:22:00 PM,1
OB,2025-04-06,3:14:00 AM,3
ID,2025-04-06,8:25:00 PM,1
OR,2025-04-07,12:56:00 AM,1
OR,2025-04-07,12:57:00 AM,1
OR,2025-04-07,10:00:00 PM,2
OR,2025-04-07,10:06:00 PM,2
OR,2025-04-07,10:08:00 PM,2
OB,2025-04-08,3:00:00 AM,2
OR,2025-04-08,4:43:00 AM,3
OR,2025-04-08,4:45:00 AM,3
OB,2025-04-10,1:51:00 AM,3
OB,2025-04-10,10:20:00 PM,3
OB,2025-04-12,12:56:00 AM,2
OR,2025-04-12,2:08:00 AM,2
OR,2025-04-12,2:30:00 AM,1
ID,2025-04-12,6:30:00 AM,2
Z,2025-04-12,1:48:00 PM,1
Z,2025-04-12,7:58:00 PM,1
Z,2025-04-12,8:01:00 PM,1
Z,2025-04-12,8:05:00 PM,1
OR,2025-04-13,9:10:00 PM,2
OR,2025-04-13,9:11:00 PM,2
OR,2025-04-14,10:11:00 PM,2
OR,2025-04-15,3:23:00 AM,1
OR,2025-04-15,8:52:00 AM,3
OB,2025-04-15,8:34:00 PM,2
OR,2025-04-16,11:09:00 PM,2
OR,2025-04-16,11:09:00 PM,2
VK,2025-04-17,7:55:00 AM,1
OB,2025-04-17,7:02:00 PM,1
OB,2025-04-19,10:06:00 PM,2
OB,2025-04-19,10:07:00 PM,2
VK,2025-04-19,11:15:00 PM,1
ID,2025-04-20,9:07:00 PM,1
OR,2025-04-21,10:24:00 PM,2
BW,2025-04-22,7:25:00 AM,1
ZD,2025-04-22,8:31:00 PM,2
VK,2025-04-23,5:00:00 AM,1
OB,2025-04-23,8:19:00 PM,1
OR,2025-04-23,10:49:00 PM,1
OR,2025-04-23,10:52:00 PM,2
OB,2025-04-23,12:54:00 AM,2
OB,2025-04-24,1:07:00 AM,4
VK,2025-04-24,1:56:00 AM,3
KP,2025-04-25,2:13:00 AM,2
KP,2025-04-25,2:14:00 AM,1
OB,2025-04-26,3:27:00 AM,3
VK,2025-04-26,4:30:00 AM,2
OR,2025-04-26,7:50:00 AM,1
KP,2025-04-26,8:46:00 PM,1
OR,2025-04-27,12:57:00 AM,1
OR,2025-04-27,11:39:00 PM,2
OR,2025-04-27,11:40:00 PM,2
VK,2025-04-28,12:24:00 AM,2
OR,2025-04-28,1:42:00 AM,2
OR,2025-04-28,1:43:00 AM,2
OR,2025-04-28,1:44:00 AM,2
OR,2025-04-28,1:47:00 AM,2
OR,2025-04-28,1:52:00 AM,2
OR,2025-04-28,2:14:00 AM,1
OR,2025-04-29,3:55:00 AM,1
KL,2025-04-29,10:35:00 PM,1
KL,2025-04-29,11:46:00 PM,3
KL,2025-04-29,11:55:00 PM,1
KL,2025-04-30,2:18:00 AM,1
